Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63726628a7d50535f21c0ab4,5f558a5eb6604495cc52268d,APPROVED,2022-11-14T16:00:43.240000Z,2022-11-14T16:05:16.592000Z,2022-11-14T16:05:17.381000,2022-11-14T16:05:17.322129Z,274,C170RZ4V,372,English,24,Male,Mixed,Jamaica,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63726629551c0714b8d002b8,60fd05d893767fcb40666fc7,APPROVED,2022-11-14T16:00:44.068000Z,2022-11-14T16:03:43.197000Z,2022-11-14T16:03:43.677000,2022-11-14T16:03:43.592100Z,180,C170RZ4V,1742,English,31,Female,White,United States,United States,United States,English,No,Full-Time
6372662c8e2bad206c03de18,5c8d42e6c6eef0001abd2d94,APPROVED,2022-11-14T16:00:47.815000Z,2022-11-14T16:03:36.969000Z,2022-11-14T16:03:37.401000,2022-11-14T16:03:37.344365Z,170,C170RZ4V,474,English,33,Male,White,United States,United States,United States,English,No,Full-Time
6372663324200ba5d799d5e6,5eb983034987d1074b5232ce,APPROVED,2022-11-14T16:00:53.885000Z,2022-11-14T16:09:18.970000Z,2022-11-14T16:09:24.485000,2022-11-14T16:09:20.114294Z,506,C170RZ4V,2179,English,61,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63726636f3c5e4914a8995ca,5de55fef7d44174e4befc3e8,APPROVED,2022-11-14T16:00:56.739000Z,2022-11-14T16:09:23.564000Z,2022-11-14T16:09:24.049000,2022-11-14T16:09:23.946834Z,507,C170RZ4V,1247,English,39,Male,White,United States,United States,United States,English,No,Full-Time
637266476864634d921db746,5e1bfb604231d840ef7103d8,APPROVED,2022-11-14T16:01:14.605000Z,2022-11-14T16:19:10.758000Z,2022-11-14T16:19:11.211000,2022-11-14T16:19:11.126357Z,1077,C170RZ4V,1679,English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63726650fb8d3ae78a899567,5fd0ceb0bb24d90009e6fc4f,APPROVED,2022-11-14T16:01:23.529000Z,2022-11-14T16:05:30.613000Z,2022-11-14T16:05:31.084000Z,2022-11-14T16:05:31.435512Z,248,C170RZ4V,2858,English,74,Male,White,United States,United States,United States,English,No,Part-Time
637266678a7af78852cb86db,5dd3269b7df219338fb2d3c4,APPROVED,2022-11-14T16:01:47.336000Z,2022-11-14T16:03:56.592000Z,2022-11-14T16:03:57.389000,2022-11-14T16:03:57.334658Z,130,C170RZ4V,674,English,44,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6372666bef97aa86073feb64,5cfe7510d987a800178eab1a,APPROVED,2022-11-14T16:01:50.086000Z,2022-11-14T16:06:42.296000Z,2022-11-14T16:06:43.099000,2022-11-14T16:06:43.037616Z,293,C170RZ4V,4094,English,35,Male,White,United States,United States,United States,English,No,Full-Time
6372666ca74999b3ee086ec8,5bf4afe0b8e9f800014c9c0b,APPROVED,2022-11-14T16:01:51.142000Z,2022-11-14T16:04:13.851000Z,2022-11-14T16:04:14.285000,2022-11-14T16:04:14.233455Z,143,C170RZ4V,2918,English,48,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6372666d165991938d2f3f66,5ed9df4296035b58dce21946,APPROVED,2022-11-14T16:01:49.227000Z,2022-11-14T16:05:40.754000Z,2022-11-14T16:05:46.272000,2022-11-14T16:05:41.178008Z,232,C170RZ4V,1388,"English, French, Tamil",26,Female,Asian,India,United States,United States,English,Yes,DATA_EXPIRED
6372667bf07c763cd0899549,5f72312763fd391320f3e599,APPROVED,2022-11-14T16:02:07.218000Z,2022-11-14T16:05:38.916000Z,2022-11-14T16:05:41.223000,2022-11-14T16:05:39.608830Z,212,C170RZ4V,16,English,31,Female,Asian,United States,United States,United States,English,No,Part-Time
6372667d118152cbc0ea7591,5e3d8d90de328d044e7c6ffb,APPROVED,2022-11-14T16:02:08.441000Z,2022-11-14T16:06:16.093000Z,2022-11-14T16:06:16.724000,2022-11-14T16:06:16.639902Z,248,C170RZ4V,2808,English,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
637266800bb22943d9d8bad2,605be95684987d5f4fe6d4dd,APPROVED,2022-11-14T16:02:13.425000Z,2022-11-14T16:05:11.575000Z,2022-11-14T16:05:17.110000,2022-11-14T16:05:12.578903Z,179,C170RZ4V,348,English,25,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6372668030dee9872b03de8e,5d946449f5241f0018fe2af2,APPROVED,2022-11-14T16:02:11.144000Z,2022-11-14T16:05:43.363000Z,2022-11-14T16:05:43.816000,2022-11-14T16:05:43.756483Z,213,C170RZ4V,1954,English,43,Female,White,United States,United States,United States,English,No,Full-Time
6372668b30b7ca9a141db72b,5c43d86eeef2600001b4eeaf,APPROVED,2022-11-14T16:02:21.477000Z,2022-11-14T16:04:53.280000Z,2022-11-14T16:04:53.775000,2022-11-14T16:04:53.691346Z,152,C170RZ4V,736,English,24,Female,White,United States,United States,United States,English,Yes,Full-Time
6372668d87469953dff5da16,5d93828b5b11ac0017eedc19,APPROVED,2022-11-14T16:02:26.633000Z,2022-11-14T16:09:33.523000Z,2022-11-14T16:09:33.963000,2022-11-14T16:09:33.903126Z,427,C170RZ4V,1449,English,38,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
63726695ef97aa86073feb69,604243ad9743df09e0f72587,APPROVED,2022-11-14T16:02:34.425000Z,2022-11-14T16:05:58.334000Z,2022-11-14T16:05:59.801000,2022-11-14T16:05:59.719899Z,204,C170RZ4V,467,English,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63726696a0f8ff212f7584bc,55884984fdf99b4021921e67,APPROVED,2022-11-14T16:02:33.544000Z,2022-11-14T16:04:45.415000Z,2022-11-14T16:04:47.359000,2022-11-14T16:04:47.274670Z,132,C170RZ4V,2276,English,30,Female,White,"United States, United States",United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6372669840f6b48bcd99995c,55a90689fdf99b6295f4ea99,APPROVED,2022-11-14T16:02:41.476000Z,2022-11-14T16:05:26.576000Z,2022-11-14T16:05:27.008000,2022-11-14T16:05:26.919228Z,166,C170RZ4V,962,English,34,Female,White,United States,United States,United States,English,No,Full-Time
6372669a3b6af34afb5c1b11,63122e37da896974502ddacf,APPROVED,2022-11-14T16:02:36.961000Z,2022-11-14T16:06:12.025000Z,2022-11-14T16:06:12.441000,2022-11-14T16:06:12.377413Z,216,C170RZ4V,347,English,46,Male,White,United States,United States,United States,English,No,Full-Time
6372669c4f9782e13a2f3f49,612d392b4ed3130794cc1eeb,APPROVED,2022-11-14T16:02:39.141000Z,2022-11-14T16:05:02.398000Z,2022-11-14T16:05:02.849000,2022-11-14T16:05:02.791729Z,144,C170RZ4V,934,English,19,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
637266ae8e2bad206c03de21,5c6d7db58f6257000148f61d,APPROVED,2022-11-14T16:02:57.706000Z,2022-11-14T16:05:34.069000Z,2022-11-14T16:05:34.500000,2022-11-14T16:05:34.443270Z,157,C170RZ4V,1465,English,31,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
637266af18f24be5f1fcde33,601991eca575400d9ad37546,APPROVED,2022-11-14T16:02:58.324000Z,2022-11-14T16:06:58.912000Z,2022-11-14T16:06:59.449000,2022-11-14T16:06:59.374299Z,241,C170RZ4V,2531,English,29,Male,White,United States,United States,United States,English,No,Full-Time
637266b640f6b48bcd999962,601c170bd8db9368fc2d996b,APPROVED,2022-11-14T16:03:07.074000Z,2022-11-14T16:27:49.945000Z,2022-11-14T16:27:50.864000,2022-11-14T16:27:50.765772Z,1483,C170RZ4V,2480,English,40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
637266b73c6315771c863e7a,58ac91c38bf22a00015b91b3,APPROVED,2022-11-14T16:03:07.815000Z,2022-11-14T16:05:41.067000Z,2022-11-14T16:05:41.474000,2022-11-14T16:05:41.416036Z,154,C170RZ4V,3580,English,55,Male,White,United States,United States,United States,English,No,Part-Time
637266bb247418354642d4a7,61071ee0d98a6df6efb59716,APPROVED,2022-11-14T16:03:12.242000Z,2022-11-14T16:06:37.592000Z,2022-11-14T16:06:38.065000,2022-11-14T16:06:38.005424Z,206,C170RZ4V,2040,English,44,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
637266bf87469953dff5da24,5a9867476219a30001d3368e,APPROVED,2022-11-14T16:03:15.358000Z,2022-11-14T16:06:03.677000Z,2022-11-14T16:06:04.369000,2022-11-14T16:06:04.303765Z,169,C170RZ4V,346,English,54,Male,White,United States,United States,United States,English,No,Full-Time
637266c1aad9bbe90cea75d2,611ea4971bd5f93c68cc56f3,APPROVED,2022-11-14T16:03:16.435000Z,2022-11-14T16:06:58.113000Z,2022-11-14T16:06:58.671000,2022-11-14T16:06:58.593639Z,222,C170RZ4V,975,English,28,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
637266c35596d06fca932ebd,578e6c599bd3d70001e5057f,APPROVED,2022-11-14T16:03:20.357000Z,2022-11-14T16:12:14.006000Z,2022-11-14T16:12:16.075000Z,2022-11-14T16:12:17.394889Z,534,C170RZ4V,3078,"English, Chinese",26,Male,Asian,China,United States,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
